Ei,E,dq,E_width
30.0,27.0,-2.90494545456,0.417802329788
30.0,15.0,-2.17958333335,1.00986737407
30.0,7.5,-1.9041758242,1.48622919003
30.0,1.875,-3.91500000002,1.87734496532
30.0,0.9375,-4.68000000002,1.94609631361
30.0,0.46875,-4.58363636366,1.97897144691
30.0,0.234375,-5.07636363638,1.99716971936
60.0,54.0,-4.09588688948,1.12723459276
60.0,30.0,-3.17390681006,2.2811971817
60.0,15.0,-2.75686567166,3.31760743911
60.0,7.5,-4.1392857143,3.90900746088
60.0,3.75,-5.20800000002,4.22816647175
60.0,1.875,-6.66758620692,4.40511793823
60.0,0.9375,-6.80363636365,4.48441665621
60.0,0.46875,-6.71384615386,4.52193418829
125.0,112.5,-5.90812834226,3.28358656298
125.0,62.5,-4.56279301748,5.67049415077
125.0,31.25,-4.06142857145,8.13559730749
125.0,7.8125,-8.21076923079,10.5876253615
125.0,3.90625,-9.77400000002,11.0852521913
125.0,1.953125,-9.26769230771,11.2537813301
125.0,0.9765625,-9.74352941178,11.3851040892
250.0,225.0,-8.36145545799,9.05195781481
250.0,125.0,-6.38182468696,13.8287723086
250.0,62.5,-5.9084671533,19.7490167827
250.0,15.625,-12.0025,26.3741394912
250.0,7.8125,-13.918,27.7883175699
250.0,3.90625,-13.4123809524,28.2013631981
250.0,1.953125,-12.174,28.2054568912
500.0,450.0,-11.8177422222,24.7781511572
500.0,250.0,-9.06421446386,34.162978453
500.0,125.0,-8.3592820513,49.5525656126
500.0,31.25,-17.638125,68.0270628991
500.0,15.625,-19.6847619048,71.847912397
500.0,7.8125,-18.8933333333,72.8031075728
500.0,3.90625,-19.7563636364,73.9730079707
1000.0,900.0,-16.7153059937,66.4870040445
1000.0,500.0,-12.8392021277,84.9962101899
1000.0,250.0,-11.6895748614,128.41829923
1000.0,62.5,-23.6244444445,177.7540677
1000.0,31.25,-27.068,188.718016181
1000.0,15.625,-27.0955102041,192.595936109
1000.0,7.8125,-26.4276190476,193.83105156
