generation, tau_P, tau_M, pixel_radius, pixel_height, sigma_LMS, sigma_thetai, sigma_phii, matrixErr
0, 9.16348568233, 5.57787654413, 0.351053338858, 0.00553090185864, 0.00382660733421, 0.0408207100818, 0.0173412051264, 0.287237257852
1, 9.16348568233, 5.57787654413, 0.351053338858, 0.00553090185864, 0.00382660733421, 0.0408207100818, 0.0173412051264, 0.287237257852
2, 9.16348568233, 5.57787654413, 0.351053338858, 0.00553090185864, 0.00382660733421, 0.0408207100818, 0.0173412051264, 0.287237257852
3, 9.16348568233, 5.57787654413, 0.351053338858, 0.00728848008144, 0.00191395496897, 0.00495631979571, 0.0437405980146, 0.207853998234
4, 9.16348568233, 5.57787654413, 0.351053338858, 0.00728848008144, 0.00191395496897, 0.00495631979571, 0.0437405980146, 0.207853998234
5, 9.16348568233, 5.57787654413, 0.351053338858, 0.00728848008144, 0.00191395496897, 0.00495631979571, 0.0437405980146, 0.207853998234
6, 9.16348568233, 5.57787654413, 0.351053338858, 0.00745278193252, 0.00100049393195, 0.0318523366942, 0.0271568817229, 0.142346052663
7, 9.16348568233, 5.57787654413, 0.351053338858, 0.00745278193252, 0.00100049393195, 0.0318523366942, 0.0271568817229, 0.142346052663
8, 9.16348568233, 5.57787654413, 0.351053338858, 0.00745278193252, 0.00100049393195, 0.0318523366942, 0.0271568817229, 0.142346052663
9, 9.11985815594, 5.57787654413, 0.351053338858, 0.00745278193252, 0.00100049393195, 0.0318523366942, 0.0271568817229, 0.132537136569
9, 9.11985815594, 5.57787654413, 0.351053338858, 0.00745278193252, 0.00100049393195, 0.0318523366942, 0.0271568817229, 0.132537136569
